"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Monocular Camera Ranging based on Vehicle Attitude Estimation","B. Li; Z. Song; X. Guo","College of Information Science and Technology, Beijing University of Chemical Technology, School of Mechatronical Engineering, Beijing Institute of Technology, Beijing, China; School of Information Science and Engineering, China University of Petroleum (Beijng), Beijing, China; School of Mechatronical Engineering, Beijing Institute of Technology, Beijing, China","2022 10th International Conference on Information Systems and Computing Technology (ISCTech)","30 May 2023","2022","","","742","747","Assisted and autonomous driving technologies are gaining popularity. A key component of autonomous driving technology is affected by the measurement of the distance in front of the vehicle. Distance prediction using monocular cameras is an efficient and low-cost ranging method. There are some limitations to existing monocular camera-based vehicle distance estimation methods. If known object features are used as the calculation standard, the calibration information is easily lost in real-world road conditions. In this paper, we proposed a method for estimating vehicle distances based on vehicle pose estimation and RGB images based on known vehicle metrics without using external references. This method estimates the distance of the vehicle by using the vehicle's characteristics as the calibration value. Good results are obtained after testing on the KITTI dataset.","","979-8-3503-3293-3","10.1109/ISCTech58360.2022.00122","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10130923","monocular cameras;Mask-RCNN;measurement of distance;YoloV5;autonomous driving","Computers;Roads;Pose estimation;Cameras;Distance measurement;Calibration;Autonomous vehicles","calibration;cameras;distance measurement;image colour analysis;object detection;pose estimation;road vehicles;stereo image processing;traffic engineering computing","autonomous driving technology;distance prediction;efficient cost ranging method;existing monocular camera-based vehicle distance estimation methods;known object features;known vehicle metrics;low-cost ranging method;monocular cameras;vehicle attitude estimation;vehicle distances","","","","20","IEEE","30 May 2023","","","IEEE","IEEE Conferences"
"A Novel Driving Behavior Learning and Visualization Method With Natural Gaze Prediction","G. Yuan; Y. Wang; J. Peng; X. Fu","Information Science and Technology College, Dalian Maritime University, Dalian, China; Information Science and Technology College, Dalian Maritime University, Dalian, China; Information Science and Technology College, Dalian Maritime University, Dalian, China; Information Science and Technology College, Dalian Maritime University, Dalian, China","IEEE Access","17 Feb 2021","2021","9","","18560","18568","Driving behavior analysis is vital for the advanced driving assistance system, aiming to improve driving behavior and decrease traffic accidents. Most existing driving behavior learning methods focus on either vehicle sensor information or driver's attention information, and provide a classification result on the current time data samples. The visualization of driving behavior on time series data samples could give an understanding and review of the driver's continuous actions. However, there has been little progress in combining the multi-modal vehicle and driver information on driving behavior learning and visualization. A multi-information driving behavior learning and visualization method with natural gaze prediction is proposed in this paper, which automatically integrates driver's gaze direction estimated from face camera, and various vehicle sensor data collected from on-board diagnostics (OBD) system. To accurately estimate the eye gaze under large head movement, a novel head pose-free eye gaze prediction method without calibration is proposed based on global and local scale sparse encoding, which treats the direction mapping as small gaze region classification. To understand driving behavior more intuitively, the latent features that represent different driving behaviors are extracted by FastICA from the fused time series data, and mapped into RGB color space for distinguished visualization. Experimental results demonstrate the effectiveness of the proposed method, and show that the proposed method performs better than the compared methods.","2169-3536","","10.1109/ACCESS.2021.3054951","Liaoning Revitalization Talents Program(grant numbers:XLYC1908007); Foundation of Liaoning Key Research and Development Program(grant numbers:201801728); Fundamental Research Funds for the Central Universities(grant numbers:3132016352); Dalian Science and Technology Innovation Fund(grant numbers:2018J12GX037,2019J11CY001); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9336651","Driving behavior;gaze prediction;visualization","Data visualization;Vehicles;Feature extraction;Head;Prediction methods;Image color analysis;Estimation","driver information systems;eye;feature extraction;human computer interaction;image classification;image colour analysis;learning (artificial intelligence);object recognition;pose estimation;road safety;road traffic;road vehicles;time series","time series data samples;driver information;multiinformation driving behavior learning;visualization method;natural gaze prediction;vehicle sensor data;fused time series data;driving behavior learning;advanced driving assistance system;vehicle sensor information;current time data samples;small gaze region classification;head pose-free eye gaze prediction method","","2","","35","CCBY","27 Jan 2021","","","IEEE","IEEE Journals"
"Pedestrian Path Prediction for Autonomous Driving at Un-Signalized Crosswalk Using W/CDM and MSFM","X. Zhang; H. Chen; W. Yang; W. Jin; W. Zhu","School of Mechanical Engineering, Shanghai Jiao Tong University, Shanghai, China; School of Mechanical Engineering, Shanghai Jiao Tong University, Shanghai, China; School of Mechanical Engineering, Shanghai Jiao Tong University, Shanghai, China; School of Mechanical Engineering, Shanghai Jiao Tong University, Shanghai, China; School of Mechanical Engineering, Shanghai Jiao Tong University, Shanghai, China","IEEE Transactions on Intelligent Transportation Systems","3 May 2021","2021","22","5","3025","3037","Pedestrian trajectory prediction is essential for collision avoidance in autonomous driving, which can help autonomous vehicles have a better understanding of traffic environment and perform tasks such as risk assessment in advance. In this paper, pedestrian path prediction at a time horizon of 2s for autonomous driving is systematically investigated using waiting/crossing decision model (W/CDM) and modified social force model (MSFM), and the possible conflict between pedestrians and straight-going vehicles at an un-signalized crosswalk is focused on. First of all, a W/CDM is efficiently developed to judge pedestrians' waiting/crossing intentions when a straight-going vehicle is approaching. Then the humanoid micro-dynamic MSFM of pedestrians who have been judged to cross is characterized by taking into account the evasion with conflicting pedestrians, the collision avoidance with straight-going vehicles, and the reaction to crosswalk boundary. The influence of pedestrian heterogeneous characteristics is considered for the first time. Moreover, aerial video data of pedestrians and vehicles at an un-signalized crosswalk is collected and analyzed for model calibration. Maximum likelihood estimation (MLE) is proposed to calibrate the non-measurable parameters of the proposed models. Finally, the model validation is conducted with two cases by comparing with the existing methods. The result reveals that the integrated method (W/CDM-MSFM) outperforms the existing methods and accurately predicts the path of pedestrians, which can give us great confidence to use the current method to predict the path of pedestrian for autonomous driving with significant accuracy and highly improve pedestrian safety.","1558-0016","","10.1109/TITS.2020.2979231","National Natural Science Foundation of China(grant numbers:51677118); National Key Research and Development Plan Key Special Project(grant numbers:2017YFE0102000); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9036079","Pedestrian path prediction;autonomous driving;waiting/crossing decision model (W/CDM);modified social force model (MSFM);maximum likelihood estimation (MLE);un-signalized crosswalk","Autonomous vehicles;Predictive models;Maximum likelihood estimation;Safety;Collision avoidance;Force;Accidents","calibration;collision avoidance;maximum likelihood estimation;mobile robots;pedestrians;road safety;road vehicles","pedestrian path prediction;autonomous driving;pedestrian trajectory prediction;collision avoidance;autonomous vehicles;modified social force model;microdynamic MSFM;crosswalk boundary;pedestrian heterogeneous characteristics;model calibration;pedestrian safety;un-signalized crosswalk;W-CDM;waiting-crossingdecision model;straight-going vehicles;aerial video data;maximum likelihood estimation","","14","","35","IEEE","13 Mar 2020","","","IEEE","IEEE Journals"
"Channel Characterization and Hybrid Modeling for Millimeter-Wave Communications in Metro Train","D. He; K. Guan; J. M. García-Loygorri; B. Ai; X. Wang; C. Zheng; C. Briso-Rodríguez; Z. Zhong","State Key Laboratory of Rail Traffic Control and Safety, Beijing Jiaotong University, Beijing, China; State Key Laboratory of Rail Traffic Control and Safety, Beijing Jiaotong University, Beijing, China; Departamento de Ingeniería Audiovisual Y Comunicaciones, Universidad Politécnica de Madrid, Madrid, Spain; State Key Laboratory of Rail Traffic Control and Safety, Beijing Jiaotong University, Beijing, China; Department of Electrical, and Computer Engineering, National University of Singapore, Singapore, Singapore; Department of Electrical, and Computer Engineering, National University of Singapore, Singapore, Singapore; Departamento de Ingeniería Audiovisual Y Comunicaciones, Universidad Politécnica de Madrid, Madrid, Spain; State Key Laboratory of Rail Traffic Control and Safety, Beijing Jiaotong University, Beijing, China","IEEE Transactions on Vehicular Technology","12 Nov 2020","2020","69","11","12408","12417","Metro is important public transportation in reducing traffic congestion, protecting the environment, and moving more people efficiently. Due to ever-increasing demands on high data rate, and seamless connections of the onboard passengers, millimeter-wave (mmWave) wideband communications are considered as potential options. Therefore, realistic mmWave channel characterization, and modeling are important for the system design, network planning, and performance prediction in metro. In this work, mmWave propagation channel is analyzed, and a hybrid channel model is proposed for inside metro environment. By conducting channel measurement at 26.5-40 GHz, and calibrating ray-tracing (RT) simulations, the propagation mechanisms are revealed, the influence of the objects is found, and principal specular reflected rays are traced. A hybrid ray, and graph channel model is proposed to effectively model the diffuse scattering components by adding scattered points around principle paths traced by RT. The proposed model is validated by measurements at different receiving positions. The analysis of the channel characteristics in power, delay, and angular domains indicates that the hybrid model is appropriate to model multipath propagation in the confined metro train environment, where many objects exist, and reverberation is important.","1939-9359","","10.1109/TVT.2020.3023153","National Natural Science Foundation of China(grant numbers:61901029,61771036); Rail Traffic Control and Safety Project(grant numbers:RCS2020ZT011); Fundamental Research Funds for the Central Universities(grant numbers:2020JBZD005); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9193959","Channel characterization;channel modeling;mmwave;propagation graph;ray-tracing","Antenna measurements;Adaptation models;Delays;Scattering;Solid modeling;Three-dimensional displays;Frequency measurement","calibration;graph theory;microwave propagation;millimetre wave communication;millimetre wave propagation;railway communication;ray tracing;wireless channels","graph channel model;diffuse scattering components;confined metrotrain environment;principal specular reflected ray modeling;multipath propagation mechanisms;RT simulations;ray-tracing simulations;channel measurement;hybrid channel model;propagation channel;network planning;mmWave channel characterization;millimeter-wave wideband communications;onboard passengers;traffic congestion;public transportation;frequency 26.5 GHz to 40.0 GHz","","18","","35","IEEE","10 Sep 2020","","","IEEE","IEEE Journals"
"CTTE: Customized Travel Time Estimation via Mobile Crowdsensing","R. Gao; F. Sun; W. Xing; D. Tao; J. Fang; H. Chai","School of Software Engineering, Beijing Jiaotong University, Beijing, China; School of Software Engineering, Beijing Jiaotong University, Beijing, China; School of Software Engineering, Beijing Jiaotong University, Beijing, China; School of Electronic and Information Engineering, Beijing Jiaotong University, Beijing, China; Maps and Public Transportation Department, DiDi Corporation, Beijing, China; Maps and Public Transportation Department, DiDi Corporation, Beijing, China","IEEE Transactions on Intelligent Transportation Systems","12 Oct 2022","2022","23","10","19335","19347","Estimating the origin-destination travel time is a fundamental problem in many location-based services for vehicles, e.g., ride-hailing, vehicle dispatching, and route planning. Recent work has made significant progress to accuracy, but they largely rely on GPS trajectories which are too coarse to model many personalized driving behaviors, e.g., differentiating novice and veteran drivers. In this paper, we propose Customized Travel Time Estimation (CTTE) that fuses GPS trajectories, smartphone inertial data, and road network within a deep recurrent neural network. It constructs a road link traffic database with topology representation, speed statistics, and query distribution. It also calibrates inertial readings, estimates the arbitrary phone’s pose in car, and detects multiple aggressive driving events (e.g., bump judders, sharp turns, sharp slopes, frequent lane shifts, overspeeds, and sudden brakes). Finally, we demonstrate our solution on two typical transportation problems, i.e., predicting traffic speed at holistic level and estimating customized travel time at personal level, within a multi-task learning structure. Experiments on two large-scale real-world traffic datasets from DiDi platform show our effectiveness compared with the state-of-the-art.","1558-0016","","10.1109/TITS.2022.3160468","Beijing NSF(grant numbers:L192004); NSFC(grant numbers:62072029,61872027,61876018); DiDi Research Collaboration Plan; Open Research Fund of the State Key Laboratory of Integrated Services Networks(grant numbers:ISN21-16); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9745466","Travel time estimation;traffic speed prediction;aggressive driving behaviors;mobile crowdsensing","Roads;Vehicles;Global Positioning System;Trajectory;Calibration;Gyroscopes;Brakes","driver information systems;Global Positioning System;learning (artificial intelligence);mobile computing;recurrent neural nets;road traffic;road vehicles;smart phones;traffic engineering computing;transportation","CTTE;Customized Travel Time Estimation;deep recurrent neural network;estimating customized travel time;GPS trajectories;holistic level;location-based services;multiple aggressive driving events;origin-destination travel time;road link traffic database;road network;smartphone inertial data;sudden brakes;vehicle dispatching","","8","","36","IEEE","30 Mar 2022","","","IEEE","IEEE Journals"
"Classification and Prediction of Overloaded Trucks Passing the Southbound Lane of North-Luzon Expressway Using Artificial Neural Network","A. C. C. Gernale; D. E. O. Juanico","Industrial Technology Development Institute, and T.I.P. Manila Graduate Programs; Industrial Technology Development Institute, and T.I.P. Manila Graduate Programs","2023 9th International Conference on Control, Decision and Information Technologies (CoDIT)","24 Oct 2023","2023","","","2229","2234","The rapid industrialization and development of the Philippines equate to an increased volume of vehicles. Overloaded vehicles, notably trucks and trailers, cause heavy traffic, accidents, and highway damage. To mitigate this problem associated with economy, highway safety, and the integrity of highways, this research proposed using machine learning models to gain information on the truck's patterns and predict overloading with high accuracy. In this study, the researcher used the High-Speed Weigh-In-Motion (HS-WIM) seven-day dataset provided by the North Luzon Expressway corporation to analyze and gain insights into the truck's pattern and behavior utilizing unsupervised learning technique (clustering) Principal Component Analysis and t-distributed stochastic neighborhood embedding, and k-means to cluster the trucks. Using an artificial neural network, the researcher developed several models and tested them on the unseen dataset to predict overloading. An average of 89% accuracy was obtained, which was higher than the 85% accuracy recorded during the 2019 calibration of the HS-WIM. This research provides valuable insights for local chief executives, decision-makers, and policymakers to formulate updated road safety and management guidelines and reasonably utilize resources and potential to develop and manufacture a low-cost sensor-based system that can predict an overloaded truck on our highways.","2576-3555","979-8-3503-1140-2","10.1109/CoDIT58514.2023.10284146","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10284146","Data Science;Truck Overload Prediction;Truck Classification;ANN TensorFlow;Data Visualization","Law;Government;Neurons;Artificial neural networks;Machine learning;Predictive models;Data models","calibration;decision making;neural nets;pattern clustering;principal component analysis;road safety;road traffic;road vehicles;roads;stochastic processes;traffic engineering computing;unsupervised learning","artificial neural network;decision-makers;high-speed weigh-in-motion;highway damage;highway safety;HS-WIM;k-means clustering;machine learning models;management guidelines;North-Luzon Expressway;overloaded truck;Philippines;rapid industrialization;road safety;sensor-based system;southbound lane;stochastic neighborhood embedding;unsupervised learning technique principal component analysis","","","","15","IEEE","24 Oct 2023","","","IEEE","IEEE Conferences"
"Towards a Unified Understanding of Uncertainty Quantification in Traffic Flow Forecasting","W. Qian; Y. Zhao; D. Zhang; B. Chen; K. Zheng; X. Zhou","School of Computer Science and Technology, Soochow University, China; Department of Computer Science, Aalborg University, Aalborg, Denmark; Department of Computer Science, Aalborg University, Aalborg, Denmark; University of Glasgow, U.K.; Yangtze Delta Region Institute (Quzhou), School of Computer Science and Engineering, Shenzhen Institute for Advanced Study, University of Electronic Science and Technology of China, China; Hong Kong University of Science and Technology, Hong Kong, China","IEEE Transactions on Knowledge and Data Engineering","","2023","PP","99","1","18","Uncertainty is an essential consideration for time series forecasting tasks. In this work, we focus on quantifying the uncertainty of traffic forecasting from a unified perspective. We develop a novel traffic forecasting framework, namely Deep Spatio-Temporal Uncertainty Quantification (DeepSTUQ), which can estimate both aleatoric and epistemic uncertainty. Specifically, we first leverage a spatio-temporal model to model the complex spatio-temporal correlations of traffic data. Subsequently, two independent sub-neural networks maximizing the heterogeneous log-likelihood are developed to estimate aleatoric uncertainty. To estimate epistemic uncertainty, we combine the merits of variational inference and deep ensembling by integrating the Monte Carlo dropout and the Adaptive Weight Averaging re-training methods, respectively. Furthermore, to relax the Gaussianity assumption, mitigate overfitting, and improve horizon-wise uncertainty quantification performance, we define a new calibration method called Multi-horizon Conformal Calibration (MHCC). Finally, we provide a theoretical analysis of the proposed unified approach based on the PAC-Bayes theory. Extensive experiments are conducted on four public datasets, and the empirical results suggest that the proposed method outperforms state-of-the-art methods in terms of both point prediction and uncertainty quantification.","1558-2191","","10.1109/TKDE.2023.3312261","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10242138","Deep ensembling;model calibration;PAC- bayes;traffic forecasting;uncertainty quantification;variational inference","Uncertainty;Forecasting;Predictive models;Correlation;Calibration;Data models;Computational modeling","","","","","","","IEEE","6 Sep 2023","","","IEEE","IEEE Early Access Articles"
"Calibration of Controlled Markov Chains for Predicting Pedestrian Crossing Behavior Using Multi-objective Genetic Algorithms","J. Wu; J. Ruenz; M. Althoff","Robert Bosch GmbH, Abstatt, Germany; Robert Bosch GmbH, Abstatt, Germany; Department of Computer Science, Technical University of Munich, Garching, Germany","2019 IEEE Intelligent Transportation Systems Conference (ITSC)","28 Nov 2019","2019","","","1032","1038","Pedestrian motion prediction is a core issue in assisted and automated driving and challenging to solve. In this work, controlled Markov chains are used for predicting pedestrian crossing behavior in urban environments with and without crosswalks. Intentions, such as crossing a road, are estimated by incorporating the probability of colliding with other traffic participants. On a public dataset, we calibrate the model parameters using genetic algorithms which we formulate as a multi-objective optimization problem. Rather than only minimizing the position deviation of the prediction, we also consider the classification performance for pedestrians' crossing intention. The conducted evaluation shows benefits of our approach: it achieves comparable intention recognition performance compared to a support vector machine, while additionally achieving accurate spatiotemporal predictions.","","978-1-5386-7024-8","10.1109/ITSC.2019.8917317","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8917317","","Trajectory;Linear programming;Markov processes;Roads;Optimization;Training;Calibration","genetic algorithms;image motion analysis;Markov processes;pedestrians;probability;road safety;traffic engineering computing","controlled Markov chains;multiobjective genetic algorithms;pedestrian motion prediction;assisted driving;automated driving;pedestrian crossing behavior;multiobjective optimization problem;intention recognition performance;spatiotemporal predictions","","","","37","IEEE","28 Nov 2019","","","IEEE","IEEE Conferences"
"Eye behaviour as a hazard perception measure","J. Iskander; S. Hanoun; I. Hettiarachchi; M. Hossny; K. Saleh; H. Zhou; S. Nahavandi; A. Bhatti","Institute for Intelligent Systems Research and Innovation (IISRI), Deakin University; Institute for Intelligent Systems Research and Innovation (IISRI), Deakin University; Institute for Intelligent Systems Research and Innovation (IISRI), Deakin University; Institute for Intelligent Systems Research and Innovation (IISRI), Deakin University; Institute for Intelligent Systems Research and Innovation (IISRI), Deakin University; Institute for Intelligent Systems Research and Innovation (IISRI), Deakin University; Institute for Intelligent Systems Research and Innovation (IISRI), Deakin University; Institute for Intelligent Systems Research and Innovation (IISRI), Deakin University","2018 Annual IEEE International Systems Conference (SysCon)","31 May 2018","2018","","","1","6","Hazard perception during driving is essential in detecting and avoiding traffic incidents. In this study, eye movement analysis is used to measure the driver's hazard perception while engaged in different traffic scenarios on Australian roads. Participants were asked to observe recordings of four different traffic scenarios and react to hazards by clicking the mouse. The aim of this study is to examine three hypotheses; (1) the relationship between driver's experience and hazard identification, (2) the use of pupil dilation as a measure of hazard perception, and (3) the ability of gaze fixation points to determine the driver's perception of the hazard. The results show that eye movement dynamics and change in pupil diameter can provide good measures of the drivers' hazard perception and prediction.","2472-9647","978-1-5386-3664-0","10.1109/SYSCON.2018.8369509","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8369509","Eye movement;pupil diameter;fixation point;hazard perception;traffic accidents","Hazards;Calibration;Visualization;Automobiles;Atmospheric measurements;Particle measurements;Roads","accident prevention;eye;gaze tracking;hazards;object detection;traffic engineering computing;visual perception","eye behaviour;hazard perception measure;eye movement analysis;eye movement dynamics;traffic incidents;traffic scenarios;Australian roads;mouse;driver experience;hazard identification;gaze fixation;driver hazard prediction","","11","","31","IEEE","31 May 2018","","","IEEE","IEEE Conferences"
"5-GHz Obstructed Vehicle-to-Vehicle Channel Characterization for Internet of Intelligent Vehicles","K. Guan; D. He; B. Ai; D. W. Matolak; Q. Wang; Z. Zhong; T. Kürner","Beijing Engineering Research Center of High-Speed Railway Broadband Mobile Communications, Beijing Jiaotong University, Beijing, China; State Key Laboratory of Rail Traffic Control and Safety, Beijing Jiaotong University, Beijing, China; State Key Laboratory of Rail Traffic Control and Safety, Beijing Jiaotong University, Beijing, China; Department of Electrical Engineering, University of South Carolina, Columbia, SC, USA; State Key Laboratory of Rail Traffic Control and Safety, Beijing Jiaotong University, Beijing, China; State Key Laboratory of Rail Traffic Control and Safety, Beijing Jiaotong University, Beijing, China; Institut für Nachrichtentechnik, Technische Universität Braunschweig, Braunschweig, Germany","IEEE Internet of Things Journal","24 Feb 2019","2019","6","1","100","110","Powered by the Internet of Things, the vehicular ad-hoc networks are expected to evolve into the Internet of Intelligent Vehicles in which each vehicle can be much more efficient in various vehicular and transportation applications. In order to realize this vision, a seamless low-latency and ultrareliable vehicle-to-vehicle (V2V) communication network is required. Thus, it is of importance to characterize the V2V channels in various realistic environments, especially when the line-of-sight between transmitter (Tx) and receiver (Rx) is obstructed. In this paper, we characterize obstructed V2V channels in the 5-GHz band through measurement-calibrated ray-tracing (RT) simulations. To begin, the main objects in the real world are divided into two groups: 1) the small-scale structures (e.g., lampposts, traffic signs, etc.) and 2) the large-scale structures (such as buildings and ground). Then, we integrate the radar cross sections of the small-scale structures into our RT simulator through a framework based on high frequency prediction techniques. For the large-scale structures, we calibrate the electromagnetic and scattering parameters of the large-scale structures through V2V channel measurements. After such integration and calibration, extensive RT simulations for V2V channels with Tx and Rx located on vehicles traveling in the opposite or same direction are realized with various antenna deployments in urban and open space environments, with and without sloped terrain. Based on the RT results, we characterize the path loss, shadow fading, and delay spread of the channel for each case, and show agreement with measured results in the literature for all these channel characteristics.","2327-4662","","10.1109/JIOT.2018.2872437","Natural Science Foundation of Beijing Municipality(grant numbers:L161009); Ministry of Science and Technology of the People's Republic of China(grant numbers:2018ZX03001031); National Natural Science Foundation of China(grant numbers:61771036,61501021,61725101); State Key Laboratory of Rail Traffic Control and Safety(grant numbers:RCS2018ZZ006,RCS2017ZT008); Fundamental Research Funds for the Central Universities(grant numbers:2017JBM077,2017JBM010); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8473696","Internet of Intelligent Vehicles (IoIV);ray-tracing (RT);shadowing;vehicle-to-vehicle (V2V) channels","Scattering;Shadow mapping;Internet of Things;Antenna measurements;Buildings;Intelligent vehicles","electromagnetic wave scattering;radar cross-sections;radar transmitters;radio receivers;radio transmitters;radiowave propagation;ray tracing;telecommunication network reliability;vehicular ad hoc networks;wireless channels","vehicular transportation applications;measurement-calibrated ray-tracing simulations;small-scale structures;large-scale structures;channel characteristics;Internet of Intelligent Vehicles;vehicular ad-hoc networks;V2V channels;low-latency vehicle-to-vehicle communication network;ultrareliable vehicle-to-vehicle communication network;RT simulator;electromagnetic parameter;scattering parameter;path loss;shadow fading;delay spread;radar cross sections;high frequency prediction techniques;obstructed vehicle-to-vehicle channel characterization","","71","","56","IEEE","27 Sep 2018","","","IEEE","IEEE Journals"
"A Probabilistic Neural Network-Based Road Side Unit Prediction Scheme for Autonomous Driving","N. Aljeri; A. Boukerche","PARADISE Research Laboratory, University of Ottawa, Ottawa, Canada; PARADISE Research Laboratory, University of Ottawa, Ottawa, Canada","ICC 2019 - 2019 IEEE International Conference on Communications (ICC)","15 Jul 2019","2019","","","1","6","Vehicular Networks will play a leading role in the next generation of Autonomous Driving (AD), as recent advances in vehicular networks are a promising solution for traffic management and congestion issues, as well as lane optimization. Wireless mobile communication in VANETs is essential for the content delivery of local and global information for intelligent operation decisions in autonomous driving control applications. However, the vehicles' high mobility and topology changes affect the performance of traditional mobility management protocols over VANETs. Therefore, an efficient mobility management solution that mitigates the challenges of vehicles' mobility is needed to support autonomous driving. In this paper, we present an efficient probabilistic neural network-based Road Side Unit (RSU) prediction scheme for autonomous driving control using vehicular networks. We evaluate the performance of the predictor against different machine learning models. Our results showed a high accuracy rate in comparison to several neural network models in various mobility environments.","1938-1883","978-1-5386-8088-9","10.1109/ICC.2019.8761749","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8761749","","Cameras;Calibration;Optical imaging;Collimators;Deep learning;Optical sensors","mobile robots;mobility management (mobile radio);neural nets;probability;road traffic;telecommunication computing;vehicular ad hoc networks","vehicular networks;traffic management;wireless mobile communication;autonomous driving control applications;efficient mobility management solution;probabilistic neural network-based road side unit prediction scheme;lane optimization;VANET;mobility management protocols","","5","","25","IEEE","15 Jul 2019","","","IEEE","IEEE Conferences"
"Stabilization of a POD/Galerkin Reduced Order Payne-Whitham Traffic Model *","B. Block; X. Chen; S. Stockar","Department of Mechanical and Aerospace Engineering, Center for Automotive Research, The Ohio State University, Columbus, OH, USA; Department of Mechanical and Aerospace Engineering, Center for Automotive Research, The Ohio State University, Columbus, OH, USA; Department of Mechanical and Aerospace Engineering, Center for Automotive Research, The Ohio State University, Columbus, OH, USA","2023 American Control Conference (ACC)","3 Jul 2023","2023","","","4443","4448","This paper presents a method for generating stable reduced order macroscopic traffic models. Starting from the Payne-Whitham traffic model, a set of hyperbolic PDEs, Galerkin projection in conjunction with proper orthogonal decomposition is used. To enforce stability of the reduced order scheme, an extension of two methods developed for parabolic PDEs is presented in this paper. The performances of the aposteriori stabilization schemes are compared showing that, with an appropriate calibration process, the stabilized models have comparable prediction errors to the full order models.","2378-5861","979-8-3503-2806-6","10.23919/ACC55779.2023.10155885","National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10155885","","Electric shock;Predictive models;Mathematical models;Convex functions;Stability analysis;Reduced order systems;Numerical models","calibration;Galerkin method;partial differential equations;reduced order systems;road traffic;stability","aposteriori stabilization schemes;Galerkin projection;hyperbolic PDEs;order models;proper orthogonal decomposition;reduced order scheme;stabilized models;stable reduced order macroscopic traffic models","","","","22","","3 Jul 2023","","","IEEE","IEEE Conferences"
"Preliminary 4.5G Cellular Network Assessment with Calibrated Standard Propagation Model (SPM) for uTM-UAS Operations in Singapore Airspace","M. D. Villaluz; L. Gan; J. Sia; S. K. Tan; S. Foo; K. H. Low","Radio Planning Department, Engineering, M1 Limited, Singapore; Air Traffic Management Research Institute, Nanyang Technological University, Singapore; Radio Planning Department, Engineering, M1 Limited, Singapore; Air Traffic Management Research Institute, Nanyang Technological University, Singapore; Radio Planning Department, Engineering, M1 Limited, Singapore; Radio Planning Department, Engineering, M1 Limited, Singapore","2018 International Conference on Unmanned Aircraft Systems (ICUAS)","2 Sep 2018","2018","","","796","805","The advantages of nationwide coverage, secured mobile connectivity, licensed spectrum operations, interference mitigation and mobility robustness capabilities, LTE Advanced Pro (4.5G) cellular network is a highly suitable candidate for Unmanned Aerial Systems (UAS) Command and Control (C2) communication management within Urban Traffic Management of Unmanned Aerial Systems (uTM-UAS) that have been presented at the Drone Enable International Civil Aviation Organization's UAS Industry Symposium. In this paper, coverage and performance assessment for sub-urban, urban and coastal areas in Singapore for up to 400 feet (121.92 metre) altitude is first performed. Utilizing the collected measurements with Atoll radio planning tool, a calibrated Standard Propagation Model (SPM) is proposed to simulate 4.5G coverage availability for entire Singapore airspace up to 400 feet altitude. This calibrated SPM considers pathloss correction due to angular-depression between UAS' altitude and cell tower height to improve coverage prediction accuracy. The accuracy of less than 8dB error in variance between simulation and experimental results have been achieved. The calibrated model will be used to support the uTM-UAS to indicate suitable airspace in terms of communication coverage and performance to ensure safe UAS operations.","2575-7296","978-1-5386-1354-2","10.1109/ICUAS.2018.8453326","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8453326","45G Cellular Network;Command and Control;UAS;Urban Environment;Propagation Model;uTM-UAS","Atmospheric modeling;Receivers;Sea measurements;Downlink;Throughput;Predictive models;Cellular networks","aircraft communication;autonomous aerial vehicles;calibration;cellular radio;Long Term Evolution;telecommunication network planning","LTE Advanced Pro cellular network;Unmanned Aerial Systems Command and Control communication management;safe UAS operations;communication coverage;calibrated model;coverage prediction accuracy;Atoll radio planning tool;Urban Traffic Management;uTM-UAS OPERATIONS;4.5G cellular network assessment;size 121.92 m","","3","","23","IEEE","2 Sep 2018","","","IEEE","IEEE Conferences"
