Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Advanced Hybrid Information Processing","Lecture Notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering","","","","10.1007/978-3-030-94554-1","Shuai LiuDr. Xuefei Ma","2022","http://link.springer.com/book/10.1007/978-3-030-94554-1","Book"
"Creativity in Intelligent Technologies and Data Science","Communications in Computer and Information Science","","","","10.1007/978-3-031-44615-3","Alla G. KravetsMaxim V. ShcherbakovPeter P. Groumpos","2023","http://link.springer.com/book/10.1007/978-3-031-44615-3","Book"
"Computational Science – ICCS 2021","Lecture Notes in Computer Science","","","","10.1007/978-3-030-77961-0","Prof. Maciej PaszynskiProf. Dr. Dieter KranzlmüllerDr. Valeria V. KrzhizhanovskayaProf. Jack J. DongarraProf. Dr. Peter M. A. Sloot","2021","http://link.springer.com/book/10.1007/978-3-030-77961-0","Book"
"Proceedings of UASG 2021: Wings 4 Sustainability","Lecture Notes in Civil Engineering","","","","10.1007/978-3-031-19309-5","Kamal JainVishal MishraBiswajeet Pradhan","2023","http://link.springer.com/book/10.1007/978-3-031-19309-5","Book"
"Data Science and Algorithms in Systems","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-21438-7","Radek SilhavyPetr SilhavyZdenka Prokopova","2023","http://link.springer.com/book/10.1007/978-3-031-21438-7","Book"
"Encyclopedia of Gerontology and Population Aging","","","","","10.1007/978-3-030-22009-9","Danan GuMatthew E. Dupre","2021","http://link.springer.com/referencework/10.1007/978-3-030-22009-9","ReferenceWork"
"Proceeding of 2022 International Conference on Wireless Communications, Networking and Applications (WCNA 2022)","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-99-3951-0","Zhihong QianM.A. JabbarSimon K. S. CheungXiaolong Li","2023","http://link.springer.com/book/10.1007/978-981-99-3951-0","Book"
"Traffic and Pollution Modelling for Air Quality Awareness: An Experience in the City of Zaragoza","SN Computer Science","","3","4","10.1007/s42979-022-01105-0","Sergio IlarriRaquel Trillo-LadoLorena Marrodán","2022","http://link.springer.com/article/10.1007/s42979-022-01105-0","Article"
"Digital Technologies and Applications","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-01942-5","Prof. Saad MotahhirDr. Badre Bossoufi","2022","http://link.springer.com/book/10.1007/978-3-031-01942-5","Book"
"Inventive Communication and Computational Technologies","Lecture Notes in Networks and Systems","","","","10.1007/978-981-19-4960-9","G. RanganathanXavier FernandoÁlvaro Rocha","2023","http://link.springer.com/book/10.1007/978-981-19-4960-9","Book"
"Proceedings of International Conference on Recent Trends in Computing","Lecture Notes in Networks and Systems","","","","10.1007/978-981-19-8825-7","Rajendra Prasad MahapatraSateesh K. PeddojuSudip RoyPritee Parwekar","2023","http://link.springer.com/book/10.1007/978-981-19-8825-7","Book"
"Innovations in Smart Cities Applications Volume 5","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-94191-8","Prof. Dr. Mohamed Ben AhmedProf. Anouar Abdelhakim BoudhirProf. Dr. İsmail Rakıp KarașProf. Dr. Vipul JainProf. Dr. Sehl Mellouli","2022","http://link.springer.com/book/10.1007/978-3-030-94191-8","Book"
"Proceedings of International Conference on Paradigms of Communication, Computing and Data Analytics","Algorithms for Intelligent Systems","","","","10.1007/978-981-99-4626-6","Anupam YadavSatyasai Jagannath NandaMeng-Hiot Lim","2023","http://link.springer.com/book/10.1007/978-981-99-4626-6","Book"
"Artificial Intelligence and Its Applications","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-96311-8","Brahim LejdelProf. Dr. Eliseo ClementiniLouai Alarabi","2022","http://link.springer.com/book/10.1007/978-3-030-96311-8","Book"
"International Conference on Innovative Computing and Communications","Lecture Notes in Networks and Systems","","","","10.1007/978-981-99-4071-4","Aboul Ella HassanienOscar CastilloSameer AnandAjay Jaiswal","2024","http://link.springer.com/book/10.1007/978-981-99-4071-4","Book"
"Proceedings of 2021 5th Chinese Conference on Swarm Intelligence and Cooperative Control","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-19-3998-3","Prof. Zhang RenDr. Mengyi WangDr. Yongzhao Hua","2023","http://link.springer.com/book/10.1007/978-981-19-3998-3","Book"
"Artificial Intelligence and Data Science","Communications in Computer and Information Science","","","","10.1007/978-3-031-21385-4","Ashwani KumarIztok Fister Jr.P. K. GuptaJohan DebayleZuopeng Justin ZhangMohammed Usman","2022","http://link.springer.com/book/10.1007/978-3-031-21385-4","Book"
"Neural Computing for Advanced Applications","Communications in Computer and Information Science","","","","10.1007/978-981-16-5188-5","Haijun ZhangZhi YangZhao ZhangZhou WuTianyong Hao","2021","http://link.springer.com/book/10.1007/978-981-16-5188-5","Book"
"Modelling, Simulation and Applications of Complex Systems","Springer Proceedings in Mathematics & Statistics","","","","10.1007/978-981-16-2629-6","Dr. Mohd Hafiz MohdDr. Md Yushalify MisroDr. Syakila AhmadDr. Doanh Nguyen Ngoc","2021","http://link.springer.com/book/10.1007/978-981-16-2629-6","Book"
"Congress on Intelligent Systems","Lecture Notes on Data Engineering and Communications Technologies","","","","10.1007/978-981-16-9113-3","Dr. Mukesh SaraswatDr. Harish SharmaProf. Dr. K. BalachandranProf. Joong Hoon KimDr. Jagdish Chand Bansal","2022","http://link.springer.com/book/10.1007/978-981-16-9113-3","Book"
"High-Performance Computing Systems and Technologies in Scientific Research, Automation of Control and Production","Communications in Computer and Information Science","","","","10.1007/978-3-031-23744-7","Vladimir JordanIlya TarasovElla ShurinaNikolay FilimonovVladimir Faerman","2023","http://link.springer.com/book/10.1007/978-3-031-23744-7","Book"
"IoT Based Control Networks and Intelligent Systems","Lecture Notes in Networks and Systems","","","","10.1007/978-981-19-5845-8","P. P. JobyValentina E. BalasRam Palanisamy","2023","http://link.springer.com/book/10.1007/978-981-19-5845-8","Book"
"The Nuclear Pore Complex","Methods in Molecular Biology","","","","10.1007/978-1-0716-2337-4","Prof. Martin W. Goldberg","2022","http://link.springer.com/book/10.1007/978-1-0716-2337-4","Book"
"New Trends in Database and Information Systems","Communications in Computer and Information Science","","","","10.1007/978-3-030-85082-1","Ladjel BellatrecheProf. Marlon DumasPanagiotis KarrasProf. Dr. Raimundas MatulevičiusAhmed AwadProf. Dr. Matthias WeidlichProf. Mirjana IvanovićOlaf Hartig","2021","http://link.springer.com/book/10.1007/978-3-030-85082-1","Book"
"Research and Innovation Forum 2022","Springer Proceedings in Complexity","","","","10.1007/978-3-031-19560-0","Anna VisviziOrlando TroisiMara Grimaldi","2023","http://link.springer.com/book/10.1007/978-3-031-19560-0","Book"
"Recent Developments in Water Resources and Transportation Engineering","Lecture Notes in Civil Engineering","","","","10.1007/978-981-99-2905-4","Nidhi NagabhatlaYusuf MehtaBrijesh Kumar YadavAmbika BehlMadhuri Kumari","2024","http://link.springer.com/book/10.1007/978-981-99-2905-4","Book"
"WITS 2020","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-33-6893-4","Dr. Saad BennaniDr. Younes LakhrissiDr. Ghizlane KhaissidiProf. Dr. Anass MansouriDr. Youness Khamlichi","2022","http://link.springer.com/book/10.1007/978-981-33-6893-4","Book"
"Environment and Sustainable Development","Environmental Science and Engineering","","","","10.1007/978-981-99-4101-8","Keiji UjikawaMikio IshiwatariEric van Hullebusch","2023","http://link.springer.com/book/10.1007/978-981-99-4101-8","Book"
"Computational Science and Its Applications – ICCSA 2021","Lecture Notes in Computer Science","","","","10.1007/978-3-030-86960-1","Prof. Dr. Osvaldo GervasiBeniamino MurganteDr. Sanjay MisraDr. Chiara GarauIvan BlečićDavid TaniarBernady O. ApduhanAna Maria A.C. RochaEufemia TarantinoCarmelo Maria Torre","2021","http://link.springer.com/book/10.1007/978-3-030-86960-1","Book"
"Data Management Technologies and Applications","Communications in Computer and Information Science","","","","10.1007/978-3-030-83014-4","Slimane HammoudiChristoph QuixJorge Bernardino","2021","http://link.springer.com/book/10.1007/978-3-030-83014-4","Book"
"The Semantic Web","Lecture Notes in Computer Science","","","","10.1007/978-3-031-06981-9","Paul GrothMaria-Esther VidalFabian SuchanekPedro SzekleyPavan KapanipathiCatia PesquitaHala Skaf-MolliMinna Tamper","2022","http://link.springer.com/book/10.1007/978-3-031-06981-9","Book"
"Intelligent Distributed Computing XIV","Studies in Computational Intelligence","","","","10.1007/978-3-030-96627-0","David CamachoProf. Domenico RosaciProf. Giuseppe M. L. SarnéMario Versaci","2022","http://link.springer.com/book/10.1007/978-3-030-96627-0","Book"
"Advances in Social Simulation","Springer Proceedings in Complexity","","","","10.1007/978-3-030-92843-8","Marcin CzuprynaBogumił Kamiński","2022","http://link.springer.com/book/10.1007/978-3-030-92843-8","Book"
"Global Encyclopedia of Public Administration, Public Policy, and Governance","","","","","10.1007/978-3-319-20928-9","Ali Farazmand","2018","http://link.springer.com/referencework/10.1007/978-3-319-20928-9","ReferenceWork"
"Production and Operations Management","Springer Proceedings in Mathematics & Statistics","","","","10.1007/978-3-031-06862-1","Jorge Vargas FlorezIrineu de Brito JuniorAdriana LeirasSandro Alberto Paz ColladoMiguel Domingo González AlvarezCarlos Alberto González-CalderónSebastian Villa BetancurMichelle RodriguezDiana Ramirez-Rios","2022","http://link.springer.com/book/10.1007/978-3-031-06862-1","Book"
"HCI in Mobility, Transport, and Automotive Systems","Lecture Notes in Computer Science","","","","10.1007/978-3-031-04987-3","Prof. Dr. Heidi Krömker","2022","http://link.springer.com/book/10.1007/978-3-031-04987-3","Book"
"Automated Driving","","","","","10.1007/978-3-319-31895-0","Daniel WatzenigProf. Dr. Martin Horn","2017","http://link.springer.com/book/10.1007/978-3-319-31895-0","Book"
"Proceedings of Sixth International Congress on Information and Communication Technology","Lecture Notes in Networks and Systems","","","","10.1007/978-981-16-2102-4","Dr. Xin-She YangDr. Simon SherrattDr. Nilanjan DeyDr. Amit Joshi","2022","http://link.springer.com/book/10.1007/978-981-16-2102-4","Book"
"Optimization and Decision Science: Operations Research, Inclusion and Equity","AIRO Springer Series","","","","10.1007/978-3-031-28863-0","Paola CappaneraMatteo LapucciFabio SchoenMarco SciandroneFabio TardellaFilippo Visintin","2023","http://link.springer.com/book/10.1007/978-3-031-28863-0","Book"
"AI and IoT for Smart City Applications","Studies in Computational Intelligence","","","","10.1007/978-981-16-7498-3","Prof. Vincenzo PiuriDr. Rabindra Nath ShawDr. Ankush GhoshDr. Rabiul Islam","2022","http://link.springer.com/book/10.1007/978-981-16-7498-3","Book"
"Advances in Information and Communication","Advances in Intelligent Systems and Computing","","","","10.1007/978-3-030-73100-7","Kohei Arai","2021","http://link.springer.com/book/10.1007/978-3-030-73100-7","Book"
"Intelligent Transport Systems","Lecture Notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering","","","","10.1007/978-3-030-97603-3","Ana Lúcia MartinsJoao C FerreiraAlexander Kocian","2022","http://link.springer.com/book/10.1007/978-3-030-97603-3","Book"
"Intelligent Data Communication Technologies and Internet of Things","Lecture Notes on Data Engineering and Communications Technologies","","","","10.1007/978-981-16-7610-9","Dr. D. Jude HemanthDr. Danilo PelusiDr. Chandrasekar Vuppalapati","2022","http://link.springer.com/book/10.1007/978-981-16-7610-9","Book"
"Computer Supported Cooperative Work and Social Computing","Communications in Computer and Information Science","","","","10.1007/978-981-99-2385-4","Yuqing SunTun LuYinzhang GuoXiaoxia SongHongfei FanDongning LiuLiping GaoBowen Du","2023","http://link.springer.com/book/10.1007/978-981-99-2385-4","Book"
"Ubiquitous Networking","Lecture Notes in Computer Science","","","","10.1007/978-3-030-86356-2","Halima ElbiazeProf. Dr. Essaid SabirProf. Dr. Francisco FalconeMohamed SadikSamson LasaulceJalel Ben Othman","2021","http://link.springer.com/book/10.1007/978-3-030-86356-2","Book"
"Intelligent Technologies and Applications","Communications in Computer and Information Science","","","","10.1007/978-3-031-10525-8","Assoc. Prof. Filippo SanfilippoOle-Christoffer GranmoSule Yildirim YayilganProf. Imran Sarwar Bajwa","2022","http://link.springer.com/book/10.1007/978-3-031-10525-8","Book"
"Introduction to Intelligent Systems in Traffic and Transportation","Synthesis Lectures on Artificial Intelligence and Machine Learning","","","","10.1007/978-3-031-01565-6","Ana L.C. BazzanFranziska Klügl","2014","http://link.springer.com/book/10.1007/978-3-031-01565-6","Book"
"Ambient Intelligence – Software and Applications – 14th International Symposium on Ambient Intelligence","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-43461-7","Paulo NovaisVicente Julián IngladaMiguel J. HornosIchiro SatohDavide CarneiroJoão CarneiroRicardo S. Alonso","2023","http://link.springer.com/book/10.1007/978-3-031-43461-7","Book"
"International Conference on Innovative Computing and Communications","Lecture Notes in Networks and Systems","","","","10.1007/978-981-99-3010-4","Aboul Ella HassanienOscar CastilloSameer AnandAjay Jaiswal","2023","http://link.springer.com/book/10.1007/978-981-99-3010-4","Book"
"Encyclopedia of Big Data Technologies","","","","","10.1007/978-3-319-77525-8","Sherif SakrAlbert Y. Zomaya","2019","http://link.springer.com/referencework/10.1007/978-3-319-77525-8","ReferenceWork"
"Computational Science – ICCS 2019","Lecture Notes in Computer Science","","","","10.1007/978-3-030-22744-9","Dr. João M. F. RodriguesDr. Pedro J. S. CardosoDr. Jânio MonteiroProf. Roberto LamDr. Valeria V. KrzhizhanovskayaMichael H. LeesProf. Jack J. DongarraProf. Dr. Peter M.A. Sloot","2019","http://link.springer.com/book/10.1007/978-3-030-22744-9","Book"
"Enterprise Information Systems","Lecture Notes in Business Information Processing","","","","10.1007/978-3-031-08965-7","Prof. Dr. Joaquim FilipeMichał ŚmiałekAlexander BrodskySlimane Hammoudi","2022","http://link.springer.com/book/10.1007/978-3-031-08965-7","Book"
"Intelligent Distributed Computing XV","Studies in Computational Intelligence","","","","10.1007/978-3-031-29104-3","Lars BraubachKai JanderCostin Bădică","2023","http://link.springer.com/book/10.1007/978-3-031-29104-3","Book"
"Deep Learning for Unmanned Systems","Studies in Computational Intelligence","","","","10.1007/978-3-030-77939-9","Dr. Anis KoubaaProf. Ahmad Taher Azar","2021","http://link.springer.com/book/10.1007/978-3-030-77939-9","Book"
"Intelligent Control and Smart Energy Management","Springer Optimization and Its Applications","","","","10.1007/978-3-030-84474-5","Maude Josée BlondinJoão Pedro Fernandes TrovãoHicham ChaouiPanos M. Pardalos","2022","http://link.springer.com/book/10.1007/978-3-030-84474-5","Book"
"International Conference on Innovative Computing and Communications","Lecture Notes in Networks and Systems","","","","10.1007/978-981-19-2535-1","Deepak GuptaAshish KhannaSiddhartha BhattacharyyaAboul Ella HassanienSameer AnandAjay Jaiswal","2023","http://link.springer.com/book/10.1007/978-981-19-2535-1","Book"
"Proceedings of Seventh International Congress on Information and Communication Technology","Lecture Notes in Networks and Systems","","","","10.1007/978-981-19-1607-6","Dr. Xin-She YangDr. Simon SherrattDr. Nilanjan DeyDr. Amit Joshi","2023","http://link.springer.com/book/10.1007/978-981-19-1607-6","Book"
"International Conference on Computing, Communication, Electrical and Biomedical Systems","EAI/Springer Innovations in Communication and Computing","","","","10.1007/978-3-030-86165-0","Dr. Arulmurugan RamuChow Chee OnnDr. M.G. Sumithra","2022","http://link.springer.com/book/10.1007/978-3-030-86165-0","Book"
"Advanced Intelligent Computing Technology and Applications","Lecture Notes in Computer Science","","","","10.1007/978-981-99-4755-3","De-Shuang HuangPrashan PremaratneBaohua JinBoyang QuKang-Hyun JoAbir Hussain","2023","http://link.springer.com/book/10.1007/978-981-99-4755-3","Book"
"Inventive Systems and Control","Lecture Notes in Networks and Systems","","","","10.1007/978-981-19-1012-8","Prof. V. SumaDr. Zubair BaigDr. Selvanayaki Kolandapalayam ShanmugamDr. Pascal Lorenz","2022","http://link.springer.com/book/10.1007/978-981-19-1012-8","Book"
"Hybrid Intelligent Systems","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-96305-7","Dr. Ajith AbrahamDr. Patrick SiarryDr. Vincenzo PiuriDr. Niketa GandhiDr. Gabriella CasalinoDr. Oscar CastilloDr. Patrick Hung","2022","http://link.springer.com/book/10.1007/978-3-030-96305-7","Book"
"Machine Intelligence and Data Science Applications","Lecture Notes on Data Engineering and Communications Technologies","","","","10.1007/978-981-19-2347-0","Prof. Vaclav SkalaProf. Dr. T. P. SinghDr. Tanupriya ChoudhuryDr. Ravi TomarDr. Md. Abul Bashar","2022","http://link.springer.com/book/10.1007/978-981-19-2347-0","Book"
"Progress in Artificial Intelligence","Lecture Notes in Computer Science","","","","10.1007/978-3-031-16474-3","Goreti MarreirosBruno MartinsAna PaivaBernardete RibeiroAlberto Sardinha","2022","http://link.springer.com/book/10.1007/978-3-031-16474-3","Book"
"Intelligent Systems and Sustainable Computing","Smart Innovation, Systems and Technologies","","","","10.1007/978-981-19-0011-2","Dr. V. Sivakumar ReddyDr. V. Kamakshi PrasadDr. D. N. Mallikarjuna RaoDr. Suresh Chandra Satapathy","2022","http://link.springer.com/book/10.1007/978-981-19-0011-2","Book"
"Advances in Engineering Research and Application","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-92574-1","Assoc. Prof. Duy Cuong NguyenAssoc. Prof. Ngoc Pi VuProf. Banh Tien LongProf. Dr. Horst PutaProf. Dr. Kai-Uwe Sattler","2022","http://link.springer.com/book/10.1007/978-3-030-92574-1","Book"
"Traffic Congestion Control by PDE Backstepping","Systems & Control: Foundations & Applications","","","","10.1007/978-3-031-19346-0","Huan YuMiroslav Krstic","2022","http://link.springer.com/book/10.1007/978-3-031-19346-0","Book"
"Computational Intelligence Methods for Green Technology and Sustainable Development","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-19694-2","Yo-Ping HuangWen-June WangHoang An QuocHieu-Giang LeHoai-Nam Quach","2023","http://link.springer.com/book/10.1007/978-3-031-19694-2","Book"
"Advances in Distributed Computing and Machine Learning","Lecture Notes in Networks and Systems","","","","10.1007/978-981-99-1203-2","Suchismita ChinaraAsis Kumar TripathyKuan-Ching LiJyoti Prakash SahooAlekha Kumar Mishra","2023","http://link.springer.com/book/10.1007/978-981-99-1203-2","Book"
"Practical Approach to Mammalian Cell and Organ Culture","","","","","10.1007/978-981-19-1731-8","Tapan Kumar MukherjeeParth MalikSrirupa Mukherjee","2023","http://link.springer.com/referencework/10.1007/978-981-19-1731-8","ReferenceWork"
"Rab GTPases","Methods in Molecular Biology","","","","10.1007/978-1-0716-1346-7","Dr. Guangpu LiNava Segev","2021","http://link.springer.com/book/10.1007/978-1-0716-1346-7","Book"
"International Conference on Innovative Computing and Communications","Lecture Notes in Networks and Systems","","","","10.1007/978-981-19-2821-5","Deepak GuptaAshish KhannaSiddhartha BhattacharyyaAboul Ella HassanienSameer AnandAjay Jaiswal","2023","http://link.springer.com/book/10.1007/978-981-19-2821-5","Book"
"Methods and Applications for Modeling and Simulation of Complex Systems","Communications in Computer and Information Science","","","","10.1007/978-981-99-7243-2","Fazilah HassanNoorhazirah SunarMohd Ariffanan Mohd BasriMohd Saiful Azimi MahmudMohamad Hafis Izran IshakMohamed Sultan Mohamed Ali","2024","http://link.springer.com/book/10.1007/978-981-99-7243-2","Book"
"Smart Cities","Communications in Computer and Information Science","","","","10.1007/978-3-030-96753-6","Prof. Dr. Sergio NesmachnowLuis Hernández Callejo","2022","http://link.springer.com/book/10.1007/978-3-030-96753-6","Book"
"Device-Edge-Cloud Continuum","Internet of Things","","","","10.1007/978-3-031-42194-5","Claudio SavaglioGiancarlo FortinoMengChu ZhouJianhua Ma","2024","http://link.springer.com/book/10.1007/978-3-031-42194-5","Book"
"ICT Analysis and Applications","Lecture Notes in Networks and Systems","","","","10.1007/978-981-16-5655-2","Dr. Simon FongDr. Nilanjan DeyDr. Amit Joshi","2022","http://link.springer.com/book/10.1007/978-981-16-5655-2","Book"
"Embedded Machine Learning for Cyber-Physical, IoT, and Edge Computing","","","","","10.1007/978-3-031-40677-5","Sudeep PasrichaMuhammad Shafique","2024","http://link.springer.com/book/10.1007/978-3-031-40677-5","Book"
"Machine Learning, Image Processing, Network Security and Data Sciences","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-19-5868-7","Rajesh DoriyaBadal SoniAnupam ShuklaXiao-Zhi Gao","2023","http://link.springer.com/book/10.1007/978-981-19-5868-7","Book"
"Autonomous Intelligent Cyber Defense Agent (AICA)","Advances in Information Security","","","","10.1007/978-3-031-29269-9","Alexander Kott","2023","http://link.springer.com/book/10.1007/978-3-031-29269-9","Book"
"Proceedings of World Conference on Artificial Intelligence: Advances and Applications","Algorithms for Intelligent Systems","","","","10.1007/978-981-99-5881-8","Ashish Kumar TripathiDarpan AnandAtulya K. Nagar","2023","http://link.springer.com/book/10.1007/978-981-99-5881-8","Book"
"Intelligent Information and Database Systems","Lecture Notes in Computer Science","","","","10.1007/978-3-031-21967-2","Ngoc Thanh NguyenTien Khoa TranUalsher TukayevTzung-Pei HongBogdan TrawińskiEdward Szczerbicki","2022","http://link.springer.com/book/10.1007/978-3-031-21967-2","Book"
"Intelligent Data Engineering and Automated Learning – IDEAL 2023","Lecture Notes in Computer Science","","","","10.1007/978-3-031-48232-8","Paulo QuaresmaDavid CamachoHujun YinTeresa GonçalvesVicente JulianAntonio J. Tallón-Ballesteros","2023","http://link.springer.com/book/10.1007/978-3-031-48232-8","Book"
"Intelligent Human Centered Computing","Springer Tracts in Human-Centered Computing","","","","10.1007/978-981-99-3478-2","Siddhartha BhattacharyyaJyoti Sekhar BanerjeeDebashis DeMufti Mahmud","2023","http://link.springer.com/book/10.1007/978-981-99-3478-2","Book"
"Wireless Algorithms, Systems, and Applications","Lecture Notes in Computer Science","","","","10.1007/978-3-031-19211-1","Lei WangMichael SegalJenhui ChenTie Qiu","2022","http://link.springer.com/book/10.1007/978-3-031-19211-1","Book"
"Handbook of Engineering Systems Design","","","","","10.1007/978-3-030-81159-4","Anja MaierJosef OehmenPieter E. Vermaas","2022","http://link.springer.com/referencework/10.1007/978-3-030-81159-4","ReferenceWork"
"Automation 2023: Key Challenges in Automation, Robotics and Measurement Techniques","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-25844-2","Roman SzewczykCezary ZielińskiMałgorzata KaliczyńskaVytautas Bučinskas","2023","http://link.springer.com/book/10.1007/978-3-031-25844-2","Book"
"Intelligent Logistics Systems for Smart Cities and Communities","Lecture Notes in Intelligent Transportation and Infrastructure","","","","10.1007/978-3-030-81203-4","Prof. Roman Gumzej","2021","http://link.springer.com/book/10.1007/978-3-030-81203-4","Book"
"Handbook of Disease Burdens and Quality of Life Measures","","","","","10.1007/978-0-387-78665-0","Victor R. PreedyRonald R. Watson","2010","http://link.springer.com/referencework/10.1007/978-0-387-78665-0","ReferenceWork"
"New Trends in Disruptive Technologies, Tech Ethics and Artificial Intelligence","Advances in Intelligent Systems and Computing","","","","10.1007/978-3-030-87687-6","Juan F. de Paz SantanaDaniel H. de la IglesiaProf. Dr. Alfonso José López Rivero","2022","http://link.springer.com/book/10.1007/978-3-030-87687-6","Book"
"Innovation and Competitiveness in Industry 4.0 Based on Intelligent Systems","EAI/Springer Innovations in Communication and Computing","","","","10.1007/978-3-031-29775-5","Luis Carlos Méndez-GonzálezLuis Alberto Rodríguez-PicónIván Juan Carlos Pérez Olguín","2023","http://link.springer.com/book/10.1007/978-3-031-29775-5","Book"
"Inventive Communication and Computational Technologies","Lecture Notes in Networks and Systems","","","","10.1007/978-981-16-5529-6","Dr. G. RanganathanDr. Xavier FernandoDr. Fuqian Shi","2022","http://link.springer.com/book/10.1007/978-981-16-5529-6","Book"
"Communication and Intelligent Systems","Lecture Notes in Networks and Systems","","","","10.1007/978-981-99-2100-3","Harish SharmaVivek ShrivastavaKusum Kumari BhartiLipo Wang","2023","http://link.springer.com/book/10.1007/978-981-99-2100-3","Book"
"Enabling 6G Mobile Networks","","","","","10.1007/978-3-030-74648-3","Jonathan RodriguezChristos VerikoukisDr. John S. VardakasDr. Nikos Passas","2022","http://link.springer.com/book/10.1007/978-3-030-74648-3","Book"
"Simulation and Modeling Methodologies, Technologies and Applications","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-84811-8","Prof. Mohammad S. ObaidatTuncer OrenFloriano De Rango","2022","http://link.springer.com/book/10.1007/978-3-030-84811-8","Book"
"CPP, Cell-Penetrating Peptides","","","","","10.1007/978-3-031-38731-9","Ülo Langel","2023","http://link.springer.com/book/10.1007/978-3-031-38731-9","Book"
"Proceedings of the International Conference on Paradigms of Communication, Computing and Data Sciences","Algorithms for Intelligent Systems","","","","10.1007/978-981-16-5747-4","Dr. Mohit DuaDr. Ankit Kumar JainDr. Anupam YadavDr. Nitin KumarProf. Patrick Siarry","2022","http://link.springer.com/book/10.1007/978-981-16-5747-4","Book"
"The Semantic Web","Lecture Notes in Computer Science","","","","10.1007/978-3-030-77385-4","Ruben VerborghKatja HoseHeiko PaulheimPierre-Antoine ChampinMaria MaleshkovaOscar CorchoPetar RistoskiDr. Mehwish Alam","2021","http://link.springer.com/book/10.1007/978-3-030-77385-4","Book"
"Climate-Resilient Agriculture, Vol 1","","","","","10.1007/978-3-031-37424-1","Mirza Hasanuzzaman","2023","http://link.springer.com/book/10.1007/978-3-031-37424-1","Book"
"ICT Systems and Sustainability","Lecture Notes in Networks and Systems","","","","10.1007/978-981-99-5652-4","Milan TubaShyam AkasheAmit Joshi","2023","http://link.springer.com/book/10.1007/978-981-99-5652-4","Book"
"HCI International 2022 Posters","Communications in Computer and Information Science","","","","10.1007/978-3-031-06394-7","Prof. Constantine StephanidisDr. Margherita AntonaDr. Stavroula Ntoa","2022","http://link.springer.com/book/10.1007/978-3-031-06394-7","Book"
"Proceedings of the World Molecular Imaging Congress 2015, Honolulu, Hawaii, September 2-5, 2015: General Abstracts","Molecular Imaging and Biology","","18","1","10.1007/s11307-016-0969-2","","2016","http://link.springer.com/article/10.1007/s11307-016-0969-2","Article"
"Wireless Algorithms, Systems, and Applications","Lecture Notes in Computer Science","","","","10.1007/978-3-031-19208-1","Lei WangMichael SegalJenhui ChenTie Qiu","2022","http://link.springer.com/book/10.1007/978-3-031-19208-1","Book"
"Water Sustainability","Encyclopedia of Sustainability Science and Technology Series","","","","10.1007/978-1-0716-2466-1","Harry X. Zhang","2023","http://link.springer.com/referencework/10.1007/978-1-0716-2466-1","ReferenceWork"
"Advances in Information Technology in Civil and Building Engineering","Lecture Notes in Civil Engineering","","","","10.1007/978-3-031-32515-1","Sebastian SkatullaHans Beushausen","2023","http://link.springer.com/book/10.1007/978-3-031-32515-1","Book"
"Smart Computing Techniques and Applications","Smart Innovation, Systems and Technologies","","","","10.1007/978-981-16-0878-0","Dr. Suresh Chandra SatapathyDr. Vikrant BhatejaProf. Margarita N. FavorskayaDr. T. Adilakshmi","2021","http://link.springer.com/book/10.1007/978-981-16-0878-0","Book"
"Inventive Communication and Computational Technologies","Lecture Notes in Networks and Systems","","","","10.1007/978-981-15-0146-3","Prof. G. RanganathanDr. Joy ChenProf. Álvaro Rocha","2020","http://link.springer.com/book/10.1007/978-981-15-0146-3","Book"
"Proceedings of Seventh International Congress on Information and Communication Technology","Lecture Notes in Networks and Systems","","","","10.1007/978-981-19-1610-6","Dr. Xin-She YangDr. Simon SherrattDr. Nilanjan DeyDr. Amit Joshi","2023","http://link.springer.com/book/10.1007/978-981-19-1610-6","Book"
"Voltage-Gated Calcium Channels","","","","","10.1007/978-3-031-08881-0","Gerald Werner ZamponiNorbert Weiss","2022","http://link.springer.com/book/10.1007/978-3-031-08881-0","Book"
"Next Generation of Internet of Things","Lecture Notes in Networks and Systems","","","","10.1007/978-981-19-1412-6","Raghvendra KumarPrasant Kumar PattnaikJoão Manuel R. S. Tavares","2023","http://link.springer.com/book/10.1007/978-981-19-1412-6","Book"
